"parameter","PRCC","lo","hi","output"
"beta_base",0.514908906843618,0.45007381519191,0.585704434791882,"Debt %"
"beta_season",0.153170887091434,0.0442711881409438,0.261828256912684,"Debt %"
"phi",0.49348608188455,0.408800932585426,0.586641538380585,"Debt %"
"sigma_rate",0.235908974347671,0.144004934577132,0.334107000573122,"Debt %"
"gamma_rate",-0.833683976340619,-0.859520751313872,-0.80685497594295,"Debt %"
"omega_rate",0.513486261036303,0.44068484580059,0.58796240006307,"Debt %"
"npi_reduction",0.153217224883606,0.0513185219116448,0.25455496585804,"Debt %"
"iota",0.499345506831667,0.41823426477273,0.582736701008857,"Debt %"
"beta_base",0.614565445634845,0.553161572950157,0.686382759624231,"S accumulation"
"beta_season",0.483481092754462,0.411272149715804,0.560389028752298,"S accumulation"
"phi",0.00773327904785444,-0.0925039166995733,0.106113979187508,"S accumulation"
"sigma_rate",0.10448484125593,0.00836254461462763,0.201113126843998,"S accumulation"
"gamma_rate",-0.927600281937577,-0.940079999503907,-0.91515507605334,"S accumulation"
"omega_rate",0.880217941572323,0.860198694057876,0.900585055944263,"S accumulation"
"npi_reduction",0.396786868640601,0.309105107953616,0.491237597857595,"S accumulation"
"iota",0.764439736355055,0.72484941389862,0.810024664406712,"S accumulation"
