#node	date	numeric date
NODE_0000002	2008-10-17	2008.793611
NODE_0000001	2009-10-12	2009.780599
NODE_0001234	2010-03-24	2010.226027
EPI607341|A/Hong_Kong/1737/2010|2010	2010-03-24	2010.226027
EPI287145|A/Hong_Kong/1737/2010|2010	2010-03-24	2010.226027
NODE_0001235	2010-01-21	2010.056782
NODE_0001236	2010-04-09	2010.269477
NODE_0001237	2010-12-01	2010.916438
EPI302201|A/Hong_Kong/6927/2010|2010	2010-12-01	2010.916438
EPI605963|A/Hong_Kong/6927/2010|2010	2010-12-01	2010.916438
NODE_0001238	2010-07-11	2010.524996
NODE_0001239	2010-08-27	2010.653425
EPI606961|A/Hong_Kong/3616/2010|2010	2010-08-27	2010.653425
EPI287112|A/Hong_Kong/3616/2010|2010	2010-08-27	2010.653425
NODE_0001240	2010-08-25	2010.647945
EPI287108|A/Hong_Kong/3579/2010|2010	2010-08-25	2010.647945
EPI609591|A/Hong_Kong/3579/2010|2010	2010-08-25	2010.647945
NODE_0001241	2010-03-31	2010.244972
NODE_0001251	2010-06-25	2010.480822
EPI279879|A/Hong_Kong/2097/2010|2010	2010-06-25	2010.480822
EPI608329|A/Hong_Kong/2097/2010|2010	2010-06-25	2010.480822
NODE_0001244	2010-04-28	2010.322254
EPI609021|A/Hong_Kong/6934/2010|2010	2010-12-05	2010.927397
NODE_0001245	2010-07-05	2010.508219
EPI279881|A/Hong_Kong/2121/2010|2010	2010-07-05	2010.508219
EPI608414|A/Hong_Kong/2121/2010|2010	2010-07-05	2010.508219
NODE_0001270	2010-07-22	2010.555034
EPI287098|A/Hong_Kong/3071/2010|2010	2010-08-17	2010.626027
NODE_0000020	2010-08-17	2010.626027
EPI607449|A/Hong_Kong/3071/2010|2010	2010-08-17	2010.626027
NODE_0000021	2010-08-26	2010.650685
EPI606636|A/Hong_Kong/3570/2010|2010	2010-08-26	2010.650685
EPI287104|A/Hong_Kong/3570/2010|2010	2010-08-26	2010.650685
NODE_0000016	2010-05-19	2010.379053
NODE_0001253	2010-08-21	2010.636713
NODE_0001254	2010-11-23	2010.894521
EPI302195|A/Hong_Kong/6882/2010|2010	2010-11-23	2010.894521
EPI606848|A/Hong_Kong/6882/2010|2010	2010-11-23	2010.894521
NODE_0001255	2010-11-26	2010.902740
EPI302197|A/Hong_Kong/6894/2010|2010	2010-11-26	2010.902740
EPI607426|A/Hong_Kong/6894/2010|2010	2010-11-26	2010.902740
NODE_0000023	2010-05-23	2010.390384
NODE_0001269	2010-08-25	2010.647945
EPI287106|A/Hong_Kong/3577/2010|2010	2010-08-25	2010.647945
EPI609554|A/Hong_Kong/3577/2010|2010	2010-08-25	2010.647945
NODE_0000026	2010-05-24	2010.394141
NODE_0001256	2010-07-10	2010.521918
EPI278769|A/Hong_Kong/2152/2010|2010	2010-07-10	2010.521918
EPI609592|A/Hong_Kong/2152/2010|2010	2010-07-10	2010.521918
NODE_0001257	2010-08-20	2010.634247
EPI606570|A/Hong_Kong/3171/2010|2010	2010-08-20	2010.634247
EPI287102|A/Hong_Kong/3171/2010|2010	2010-08-20	2010.634247
NODE_0000022	2010-07-04	2010.504561
