类别：所有类别

周,咳嗽: (香港)
2014-12-28,87
2015-01-04,81
2015-01-11,81
2015-01-18,90
2015-01-25,100
2015-02-01,86
2015-02-08,88
2015-02-15,84
2015-02-22,82
2015-03-01,73
2015-03-08,65
2015-03-15,67
2015-03-22,74
2015-03-29,66
2015-04-05,73
2015-04-12,73
2015-04-19,85
2015-04-26,70
2015-05-03,57
2015-05-10,69
2015-05-17,61
2015-05-24,59
2015-05-31,66
2015-06-07,61
2015-06-14,62
2015-06-21,60
2015-06-28,62
2015-07-05,60
2015-07-12,60
2015-07-19,51
2015-07-26,52
2015-08-02,46
2015-08-09,53
2015-08-16,51
2015-08-23,59
2015-08-30,54
2015-09-06,58
2015-09-13,77
2015-09-20,65
2015-09-27,68
2015-10-04,67
2015-10-11,73
2015-10-18,81
2015-10-25,75
2015-11-01,80
2015-11-08,72
2015-11-15,73
2015-11-22,77
2015-11-29,79
2015-12-06,76
2015-12-13,85
2015-12-20,84
2015-12-27,99
