类别：所有类别

周,发热: (香港)
2020-12-27,77
2021-01-03,64
2021-01-10,81
2021-01-17,63
2021-01-24,66
2021-01-31,60
2021-02-07,61
2021-02-14,66
2021-02-21,62
2021-02-28,63
2021-03-07,66
2021-03-14,72
2021-03-21,66
2021-03-28,64
2021-04-04,70
2021-04-11,74
2021-04-18,66
2021-04-25,72
2021-05-02,86
2021-05-09,83
2021-05-16,86
2021-05-23,85
2021-05-30,79
2021-06-06,79
2021-06-13,82
2021-06-20,77
2021-06-27,88
2021-07-04,79
2021-07-11,86
2021-07-18,85
2021-07-25,85
2021-08-01,89
2021-08-08,96
2021-08-15,90
2021-08-22,100
2021-08-29,100
2021-09-05,95
2021-09-12,94
2021-09-19,91
2021-09-26,79
2021-10-03,75
2021-10-10,67
2021-10-17,77
2021-10-24,79
2021-10-31,77
2021-11-07,80
2021-11-14,74
2021-11-21,71
2021-11-28,80
2021-12-05,62
2021-12-12,65
2021-12-19,62
2021-12-26,69
