类别：所有类别

周,流行性感冒: (香港)
2015-12-27,23
2016-01-03,26
2016-01-10,25
2016-01-17,27
2016-01-24,30
2016-01-31,44
2016-02-07,42
2016-02-14,57
2016-02-21,63
2016-02-28,73
2016-03-06,100
2016-03-13,66
2016-03-20,53
2016-03-27,40
2016-04-03,35
2016-04-10,27
2016-04-17,32
2016-04-24,30
2016-05-01,24
2016-05-08,26
2016-05-15,46
2016-05-22,26
2016-05-29,18
2016-06-05,24
2016-06-12,20
2016-06-19,14
2016-06-26,15
2016-07-03,18
2016-07-10,15
2016-07-17,14
2016-07-24,17
2016-07-31,11
2016-08-07,12
2016-08-14,12
2016-08-21,15
2016-08-28,19
2016-09-04,17
2016-09-11,20
2016-09-18,32
2016-09-25,38
2016-10-02,38
2016-10-09,26
2016-10-16,30
2016-10-23,32
2016-10-30,44
2016-11-06,34
2016-11-13,39
2016-11-20,42
2016-11-27,35
2016-12-04,34
2016-12-11,37
2016-12-18,35
2016-12-25,44
