类别：所有类别

周,普通感冒: (香港)
2017-12-31,86
2018-01-07,78
2018-01-14,81
2018-01-21,77
2018-01-28,91
2018-02-04,96
2018-02-11,76
2018-02-18,70
2018-02-25,61
2018-03-04,59
2018-03-11,55
2018-03-18,55
2018-03-25,60
2018-04-01,59
2018-04-08,57
2018-04-15,54
2018-04-22,50
2018-04-29,48
2018-05-06,47
2018-05-13,46
2018-05-20,46
2018-05-27,40
2018-06-03,36
2018-06-10,43
2018-06-17,40
2018-06-24,37
2018-07-01,41
2018-07-08,41
2018-07-15,48
2018-07-22,43
2018-07-29,46
2018-08-05,42
2018-08-12,43
2018-08-19,46
2018-08-26,47
2018-09-02,46
2018-09-09,45
2018-09-16,37
2018-09-23,45
2018-09-30,49
2018-10-07,47
2018-10-14,53
2018-10-21,52
2018-10-28,61
2018-11-04,55
2018-11-11,55
2018-11-18,52
2018-11-25,63
2018-12-02,59
2018-12-09,79
2018-12-16,76
2018-12-23,77
2018-12-30,100
