类别：所有类别

周,流行性感冒疫苗: (香港)
2023-01-01,14
2023-01-08,13
2023-01-15,6
2023-01-22,0
2023-01-29,5
2023-02-05,3
2023-02-12,5
2023-02-19,3
2023-02-26,6
2023-03-05,7
2023-03-12,8
2023-03-19,6
2023-03-26,5
2023-04-02,8
2023-04-09,10
2023-04-16,10
2023-04-23,9
2023-04-30,9
2023-05-07,6
2023-05-14,7
2023-05-21,3
2023-05-28,4
2023-06-04,5
2023-06-11,5
2023-06-18,3
2023-06-25,4
2023-07-02,0
2023-07-09,0
2023-07-16,4
2023-07-23,3
2023-07-30,7
2023-08-06,6
2023-08-13,5
2023-08-20,10
2023-08-27,11
2023-09-03,22
2023-09-10,24
2023-09-17,39
2023-09-24,87
2023-10-01,100
2023-10-08,78
2023-10-15,87
2023-10-22,73
2023-10-29,49
2023-11-05,41
2023-11-12,32
2023-11-19,26
2023-11-26,31
2023-12-03,37
2023-12-10,25
2023-12-17,14
2023-12-24,13
2023-12-31,23
