类别：所有类别

周,糖尿病: (澳门)
2014-12-28,0
2015-01-04,48
2015-01-11,0
2015-01-18,49
2015-01-25,49
2015-02-01,0
2015-02-08,63
2015-02-15,64
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,52
2015-03-22,0
2015-03-29,0
2015-04-05,48
2015-04-12,54
2015-04-19,0
2015-04-26,53
2015-05-03,45
2015-05-10,56
2015-05-17,49
2015-05-24,50
2015-05-31,60
2015-06-07,61
2015-06-14,0
2015-06-21,0
2015-06-28,58
2015-07-05,0
2015-07-12,57
2015-07-19,56
2015-07-26,0
2015-08-02,58
2015-08-09,0
2015-08-16,0
2015-08-23,63
2015-08-30,74
2015-09-06,55
2015-09-13,73
2015-09-20,58
2015-09-27,69
2015-10-04,63
2015-10-11,53
2015-10-18,53
2015-10-25,100
2015-11-01,0
2015-11-08,52
2015-11-15,42
2015-11-22,47
2015-11-29,70
2015-12-06,45
2015-12-13,60
2015-12-20,0
2015-12-27,0
