类别：所有类别

周,咳嗽: (澳门)
2017-01-01,41
2017-01-08,62
2017-01-15,72
2017-01-22,80
2017-01-29,100
2017-02-05,61
2017-02-12,49
2017-02-19,60
2017-02-26,67
2017-03-05,90
2017-03-12,59
2017-03-19,87
2017-03-26,63
2017-04-02,75
2017-04-09,68
2017-04-16,55
2017-04-23,91
2017-04-30,52
2017-05-07,67
2017-05-14,66
2017-05-21,66
2017-05-28,67
2017-06-04,41
2017-06-11,61
2017-06-18,0
2017-06-25,56
2017-07-02,42
2017-07-09,79
2017-07-16,65
2017-07-23,44
2017-07-30,63
2017-08-06,59
2017-08-13,53
2017-08-20,57
2017-08-27,60
2017-09-03,39
2017-09-10,37
2017-09-17,58
2017-09-24,60
2017-10-01,50
2017-10-08,68
2017-10-15,70
2017-10-22,92
2017-10-29,79
2017-11-05,80
2017-11-12,74
2017-11-19,49
2017-11-26,45
2017-12-03,69
2017-12-10,87
2017-12-17,51
2017-12-24,86
2017-12-31,68
