类别：所有类别

周,发热: (澳门)
2023-12-31,100
2024-01-07,89
2024-01-14,59
2024-01-21,76
2024-01-28,96
2024-02-04,83
2024-02-11,81
2024-02-18,80
2024-02-25,64
2024-03-03,79
2024-03-10,75
2024-03-17,43
2024-03-24,66
2024-03-31,42
2024-04-07,62
2024-04-14,78
2024-04-21,76
2024-04-28,86
2024-05-05,97
2024-05-12,65
2024-05-19,60
2024-05-26,59
2024-06-02,46
2024-06-09,54
2024-06-16,41
2024-06-23,65
2024-06-30,46
2024-07-07,67
2024-07-14,66
2024-07-21,55
2024-07-28,39
2024-08-04,57
2024-08-11,41
2024-08-18,47
2024-08-25,20
2024-09-01,45
2024-09-08,37
2024-09-15,52
2024-09-22,32
2024-09-29,44
2024-10-06,45
2024-10-13,59
2024-10-20,43
2024-10-27,52
2024-11-03,44
2024-11-10,44
2024-11-17,38
2024-11-24,38
2024-12-01,34
2024-12-08,31
2024-12-15,49
2024-12-22,73
2024-12-29,49
