类别：所有类别

周,普通感冒: (澳门)
2013-12-29,100
2014-01-05,93
2014-01-12,74
2014-01-19,82
2014-01-26,61
2014-02-02,45
2014-02-09,55
2014-02-16,0
2014-02-23,42
2014-03-02,35
2014-03-09,45
2014-03-16,52
2014-03-23,67
2014-03-30,37
2014-04-06,43
2014-04-13,33
2014-04-20,64
2014-04-27,46
2014-05-04,54
2014-05-11,0
2014-05-18,0
2014-05-25,52
2014-06-01,44
2014-06-08,40
2014-06-15,0
2014-06-22,0
2014-06-29,49
2014-07-06,0
2014-07-13,0
2014-07-20,47
2014-07-27,38
2014-08-03,0
2014-08-10,0
2014-08-17,50
2014-08-24,0
2014-08-31,34
2014-09-07,30
2014-09-14,57
2014-09-21,33
2014-09-28,33
2014-10-05,51
2014-10-12,93
2014-10-19,31
2014-10-26,46
2014-11-02,51
2014-11-09,42
2014-11-16,39
2014-11-23,29
2014-11-30,56
2014-12-07,77
2014-12-14,72
2014-12-21,90
2014-12-28,87
