类别：所有类别

周,甲型流感病毒: (澳门)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,23
2023-03-12,16
2023-03-19,28
2023-03-26,53
2023-04-02,100
2023-04-09,62
2023-04-16,44
2023-04-23,36
2023-04-30,29
2023-05-07,15
2023-05-14,24
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,16
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,17
2023-09-03,26
2023-09-10,32
2023-09-17,46
2023-09-24,38
2023-10-01,30
2023-10-08,23
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,16
2023-12-10,16
2023-12-17,26
2023-12-24,41
2023-12-31,51
