#node	date	numeric date
NODE_0000002	2009-03-15	2009.202495
NODE_0000314	2010-05-20	2010.383422
EPI280370|B/Hong_Kong/1863/2010|2010	2010-07-11	2010.524658
NODE_0000315	2010-07-11	2010.524658
EPI605268|B/Hong_Kong/1863/2010|2010	2010-07-11	2010.524658
EPI278952|B/Hong_Kong/1863/2010|2010	2010-07-11	2010.524658
NODE_0000310	2009-03-15	2009.202495
NODE_0000004	2009-07-20	2009.549757
EPI302445|B/HONG_KONG/2225/2010|2010	2010-12-25	2010.982192
NODE_0000005	2009-07-20	2009.549757
EPI279871|B/Hong_Kong/1889/2010|2010	2010-07-16	2010.538356
NODE_0000312	2010-02-03	2010.091781
EPI271551|B/Hong_Kong/259/2010|2010	2010-03-02	2010.165753
EPI604403|B/Hong_Kong/259/2010|2010	2010-02-03	2010.091781
NODE_0000309	2009-04-16	2009.289290
EPI279869|B/Hong_Kong/1878/2010|2010	2010-07-12	2010.527397
NODE_0000318	2011-04-19	2011.296271
NODE_0000321	2012-05-12	2012.362022
EPI383301|B/Hong_Kong/3553/2012|2012	2012-05-17	2012.375683
EPI383299|B/Hong_Kong/3540/2012|2012	2012-05-12	2012.362022
EPI391321|B/Hong_Kong/3553/2012|2012	2012-05-17	2012.375683
NODE_0000010	2012-05-02	2012.334109
EPI383294|B/Hong_Kong/3508/2012|2012	2012-05-03	2012.337432
NODE_0000011	2012-05-03	2012.337432
EPI392579|B/Hong_Kong/3508/2012|2012	2012-05-03	2012.337432
EPI904303|B/Hong_Kong/3508/2012|2012	2012-05-03	2012.337432
NODE_0000323	2010-03-03	2010.168493
EPI271871|B/Hong_Kong/270/2010|2010	2010-03-03	2010.168493
NODE_0000324	2011-02-23	2011.146242
EPI346736|B/Hong_Kong/591/2011|2011	2011-04-20	2011.300000
NODE_0000332	2012-05-04	2012.340164
EPI383296|B/Hong_Kong/3514/2012|2012	2012-05-04	2012.340164
EPI392581|B/Hong_Kong/3514/2012|2012	2012-05-04	2012.340164
NODE_0000325	2012-02-21	2012.141728
EPI904304|B/Hong_Kong/3534/2012|2012	2012-05-08	2012.351093
NODE_0000016	2012-05-08	2012.351093
EPI383298|B/Hong_Kong/3534/2012|2012	2012-05-08	2012.351093
EPI392583|B/Hong_Kong/3534/2012|2012	2012-05-08	2012.351093
NODE_0000017	2011-04-16	2011.290033
NODE_0000335	2011-08-11	2011.608937
NODE_0000336	2012-02-19	2012.135098
EPI904301|B/Hong_Kong/3496/2012|2012	2012-04-03	2012.255464
EPI392575|B/Hong_Kong/3496/2012|2012	2012-04-30	2012.329235
NODE_0000337	2011-11-05	2011.844272
EPI352432|B/Hong_Kong/1153/2011|2011	2011-12-16	2011.957534
EPI352431|B/Hong_Kong/1129/2011|2011	2011-12-12	2011.946575
NODE_0000022	2011-04-18	2011.293355
EPI326165|B/Hong_Kong/591/2011|2011	2011-04-20	2011.300000
NODE_0000023	2011-04-19	2011.296678
EPI902603|B/Hong_Kong/591/2011|2011	2011-04-20	2011.300000
NODE_0000024	2011-04-20	2011.300000
EPI346738|B/Hong_Kong/591/2011|2011	2011-04-20	2011.300000
NODE_0000025	2012-04-30	2012.329235
EPI383292|B/Hong_Kong/3507/2012|2012	2012-05-02	2012.334699
EPI383275|B/Hong_Kong/3496/2012|2012	2012-04-30	2012.329235
NODE_0000303	2009-05-30	2009.409991
NODE_0000304	2009-08-14	2009.617025
EPI902583|B/Hong_Kong/1889/2010|2010	2010-07-16	2010.538356
NODE_0000305	2010-10-06	2010.763516
NODE_0000029	2010-12-11	2010.943836
EPI301996|B/Hong_Kong/2206/2010|2010	2010-12-11	2010.943836
EPI604900|B/Hong_Kong/2206/2010|2010	2010-12-11	2010.943836
NODE_0000307	2010-11-10	2010.858320
EPI902767|B/Hong_Kong/2200/2010|2010	2010-12-02	2010.919178
NODE_0000308	2010-12-02	2010.919178
EPI604476|B/Hong_Kong/2200/2010|2010	2010-12-02	2010.919178
EPI305393|B/Hong_Kong/2200/2010|2010	2010-12-02	2010.919178
NODE_0000302	2009-06-21	2009.470296
EPI271869|B/Hong_Kong/264/2010|2010	2010-02-03	2010.091781
NODE_0000299	2009-12-29	2009.994233
NODE_0000300	2011-04-25	2011.313699
EPI346740|B/Hong_Kong/599/2011|2011	2011-04-25	2011.313699
EPI902535|B/Hong_Kong/599/2011|2011	2011-04-25	2011.313699
EPI334690|B/Hong_Kong/599/2011|2011	2011-04-25	2011.313699
